Provinsi;Padi;Bawang_Merah;Bawang_Putih;Bawang_Daun;Kentang ;Kubis ;Kembang_Kol;Sawi ;Wortel ;Kacang_Panjang ;Cabai_Besar;Cabai_Rawit ;Tomat ;Terung;Buncis ;Ketimun ;Labu_Siam;Kangkung;Bayam ;Melinjo ;Jamur;Petai ;Jengkol 
ACEH;1634639.60;10136.00;30.00;1280.00;15997.00;4225.00;605.00;3206.00;389.00;12558.00;58382.00;51686.00;11706.00;11598.00;585.00;12936.00;14830.00;7307.00;4312.00;20669.00;82.00;1433.00;6539.00
SUMATERA UTARA;2004142.51;53962.00;805.00;15632.00;159014.00;233761.00;59100.00;74908.00;141446.00;28386.00;210220.00;78663.00;203162.00;51320.00;49856.00;22975.00;14047.00;23071.00;17980.00;4878.00;304.00;26951.00;8463.00
SUMATERA BARAT;1317209.38;200366.00;1839.00;44149.00;15201.00;174387.00;16080.00;35283.00;25457.00;24961.00;115766.00;35118.00;97271.00;107268.00;41738.00;29201.00;32046.00;10722.00;7125.00;8528.00;203.00;30786.00;26157.00
RIAU;217458.87;329.00;-;1.00;-;-;-;1673.00;-;9163.00;14097.00;6694.00;151.00;10168.00;8.00;16808.00;577.00;10646.00;8378.00;1767.00;847.00;2309.00;6572.00
JAMBI;298149.25;13264.00;132.00;4436.00;129336.00;51461.00;1724.00;12219.00;6754.00;7474.00;59855.00;11526.00;23890.00;14819.00;4285.00;5776.00;11215.00;4190.00;3761.00;2619.00;97.00;4514.00;11043.00
SUMATERA SELATAN;2552443.19;1125.00;36.00;3099.00;524.00;4151.00;339.00;4055.00;2359.00;10568.00;23556.00;11562.00;8836.00;13441.00;3537.00;12488.00;3145.00;7275.00;3973.00;2353.00;703.00;7363.00;10850.00
BENGKULU;271117.19;990.00;252.00;18429.00;3573.00;76689.00;12690.00;35634.00;42366.00;6358.00;48778.00;16278.00;30868.00;80660.00;29803.00;14522.00;15738.00;2693.00;721.00;2960.00;2748.00;1517.00;4190.00
LAMPUNG;2485452.78;1762.00;112.00;3964.00;179.00;6073.00;833.00;10180.00;5579.00;15652.00;34550.00;10921.00;15934.00;21523.00;4454.00;12491.00;2647.00;13933.00;8362.00;17224.00;4817.00;18033.00;17858.00
KEP. BANGKA BELITUNG;70496.25;208.00;-;198.00;-;8.00;-;1654.00;-;2783.00;5059.00;3954.00;1147.00;3801.00;516.00;5184.00;339.00;2461.00;1116.00;301.00;33.00;872.00;527.00
KEP. RIAU;855.01;33.00;-;246.00;-;10.00;-;1495.00;-;3954.00;2967.00;1627.00;425.00;463.00;255.00;3062.00;-;3441.00;2561.00;153.00;147.00;491.00;529.00
DKI JAKARTA;3249.47;2.00;-;-;-;6.00;7.00;2684.00;-;-;-;1.00;-;15.00;-;-;-;5344.00;3469.00;185.00;-;53.00;-
JAWA BARAT;9113573.08;170650.00;963.00;167008.00;240482.00;231871.00;26326.00;188944.00;135117.00;83112.00;343067.00;137456.00;292309.00;99958.00;86093.00;148272.00;106410.00;67178.00;34491.00;58894.00;23417.00;81238.00;18336.00
JAWA TENGAH;9618656.81;564255.00;25545.00;130556.00;277725.00;226695.00;39359.00;109294.00;153026.00;30142.00;169282.00;179287.00;77297.00;47511.00;27560.00;28270.00;114872.00;29284.00;10442.00;65905.00;12005.00;108378.00;13375.00
DI YOGYAKARTA;556531.03;29809.00;-;96.00;29.00;1.00;189.00;4136.00;-;2363.00;38378.00;15933.00;949.00;2718.00;322.00;1428.00;64.00;5791.00;2038.00;17898.00;1104.00;5582.00;313.00
JAWA TIMUR;9789587.67;500992.00;4220.00;98008.00;324338.00;193026.00;38134.00;82613.00;91666.00;38070.00;127429.00;578883.00;93121.00;90519.00;28596.00;53570.00;48127.00;38480.00;13766.00;31750.00;41583.00;71681.00;1796.00
BANTEN;1603247.00;1190.00;1.00;258.00;4.00;51.00;87.00;6786.00;216.00;14372.00;6406.00;3993.00;1190.00;5387.00;55.00;17858.00;33.00;12388.00;8972.00;47680.00;329.00;10657.00;8605.00
BALI;618910.81;23215.00;1040.00;1055.00;114.00;38992.00;1820.00;24519.00;1780.00;5957.00;11747.00;29175.00;12172.00;1560.00;7036.00;7835.00;70119.00;5920.00;943.00;356.00;68.00;3.00;-
NUSA TENGGARA BARAT;1419559.84;222620.00;9223.00;2103.00;2036.00;13064.00;923.00;3628.00;5053.00;10038.00;16086.00;62539.00;28514.00;8094.00;2324.00;3483.00;1347.00;4642.00;826.00;1189.00;1015.00;53.00;6.00
NUSA TENGGARA TIMUR;731877.74;11430.00;579.00;2137.00;410.00;3418.00;759.00;13376.00;3377.00;6817.00;3218.00;9076.00;10605.00;14471.00;4448.00;6200.00;15884.00;14483.00;5155.00;125.00;2.00;448.00;-
KALIMANTAN BARAT;711898.01;104.00;-;1009.00;-;28.00;23.00;5118.00;5.00;7222.00;2791.00;6332.00;4108.00;7254.00;1835.00;10933.00;262.00;4762.00;2701.00;1272.00;75.00;4844.00;10224.00
KALIMANTAN TENGAH;381189.55;34.00;-;1954.00;-;28.00;94.00;2839.00;-;6962.00;1711.00;6961.00;3505.00;6467.00;2927.00;7816.00;95.00;2788.00;1578.00;1355.00;264.00;2175.00;3015.00
KALIMANTAN SELATAN;1016313.55;389.00;-;808.00;-;11.00;48.00;1441.00;-;4749.00;8977.00;11758.00;5067.00;5225.00;1958.00;4905.00;-;1638.00;1673.00;872.00;258.00;3294.00;963.00
KALIMANTAN TIMUR;244677.96;72.00;-;426.00;-;4.00;120.00;6915.00;-;9691.00;5916.00;8367.00;9101.00;10810.00;5239.00;12248.00;119.00;12331.00;5334.00;1521.00;55.00;936.00;716.00
KALIMANTAN UTARA;29967.31;88.00;-;1282.00;-;-;-;1891.00;-;1596.00;4161.00;5819.00;6008.00;12200.00;1197.00;5522.00;90.00;4114.00;2378.00;280.00;2.00;633.00;20.00
SULAWESI UTARA;232884.76;4986.00;11.00;81469.00;120187.00;75085.00;1319.00;48022.00;55002.00;3186.00;9042.00;17371.00;66711.00;13197.00;1932.00;3553.00;42031.00;5018.00;612.00;375.00;1.00;-;-
SULAWESI TENGAH;867012.77;4652.00;211.00;6879.00;656.00;36735.00;624.00;14766.00;6212.00;2978.00;6528.00;22199.00;17634.00;5062.00;1330.00;2956.00;5336.00;2877.00;1172.00;59.00;18.00;85.00;133.00
SULAWESI SELATAN;5090637.23;183210.00;47.00;38203.00;71083.00;59868.00;1637.00;15590.00;44209.00;12899.00;17822.00;26423.00;63373.00;11301.00;7321.00;8404.00;13462.00;14232.00;6642.00;36.00;241.00;2386.00;1233.00
