Billy Dion Yogihaz,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17/413723/TK/46163,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Titanium aquadest,Anode,,,Catode,,,,Titanium 100 ppm NaCl,Anode,,,Catode,,,,Titanium 200 ppm NaCl,Anode,,,Catode,,,,Aluminium aquadest,Anode,,,Catode,,,,Aluminium 100 ppm NaCl,Anode,,,Catode,,,,Aluminium 200 ppm NaCl,Anode,,,Catode,,,,Stainless Steel aquadest,Anode,,,Catode,,,,Stainless Steel 100 ppm NaCl,Anode,,,Catode,,,,Stainless Steel 200 ppm NaCl,Anode,,,Catode,,,,Cuprum aquadest,Anode,,,Catode,,,,Cuprum 100 ppm NaCl,Anode,,,Catode,,,,Cuprum 200 ppm NaCl,Anode,,,Catode,,,,Zinc aquadest,Anode,,,Catode,,,,Zinc 100 ppm NaCl,Anode,,,Catode,,,,Zinc 200 ppm NaCl,Anode,,,Catode,,
Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW,,Time (min),pH  EOW,ORP EOW,TDS EOW,pH ERW,ORP ERW,TDS ERW
0,7.6,190,52,7.6,190,52,,0,7.7,222.0,169,7.4,250,158,,0,8.3,173,280,8.4,174,280,,0,7.7,145,56,7.6,145,56,,0,7.5,356,105,7.5,356,105,,0,8.2,137,202,8.3,135,202,,0,6.9,178,1,7.1,177,3,,0,6.4,131,104,7.0,127,101,,0,7.2,153,203,6.8,169,201,,0,6.4,467,5,6.3,329,5,,0,7.1,243,109,7,194,109,,0,6.9,195,203,6.9,196,205,,0,6.2,259,2,6.4,260,1,,0,7.1,151,110,6.8,118,113,,0,,,,,,
5,7.6,206,82,7.4,189,69,,5,8.7,215.0,174,7.7,243,142,,5,8.3,209,294,8.1,189,276,,5,7,142,70,7.1,136,62,,5,7.3,350,111,7.3,222,113,,5,8.1,177,192,8.1,-12,201,,5,6.9,169,2,7.1,176,3,,5,6.4,150,108,6.8,154,100,,5,7.3,146,201,7.4,111,209,,5,6.5,460,5,6.2,382,5,,5,7.3,249,111,7,228,110,,5,6.9,198,208,6.9,224,210,,5,5.8,285,4,6.9,268,14,,5,6.8,161,118,7.6,128,118,,5,,,,,,
10,7.6,208,83,7.6,190,72,,10,8.4,228.0,176,7.6,239,141,,10,8.3,226,302,8.2,192,286,,10,7,140,73,7.1,115,62,,10,6.2,345,107,7.3,-13,110,,10,7.9,170,190,8.3,-109,200,,10,6.0,167,2,6.7,173,1,,10,5.3,230,114,7.2,108,102,,10,7.3,149,201,7.7,12,209,,10,5.9,469,4,5.5,381,4,,10,7.4,257,111,6.5,250,112,,10,5.9,206,209,9.4,125,211,,10,5.8,310,5,6.9,268,18,,10,6.6,165,121,7.7,129,123,,10,,,,,,
15,6.8,221,83,7.8,180,72,,15,8.3,231.0,168,8.1,229,141,,15,7.5,235,298,8.4,144,278,,15,6.8,135,78,7.1,124,61,,15,5.5,382,107,8.1,-84,110,,15,5.5,165,189,8.3,-225,200,,15,5.8,165,2,6.7,172,2,,15,5.2,261,114,7.5,69,104,,15,7.3,155,202,8.3,34,216,,15,6,481,4,5,385,4,,15,7.4,263,111,6.5,270,113,,15,5.9,206,211,9.3,82,211,,15,5.9,320,5,6.8,262,20,,15,6.9,169,120,7.8,121,117,,15,,,,,,
20,6.8,226,82,8.1,170,72,,20,8.0,252.0,159,8.3,220,142,,20,7.1,246,289,8.8,78,278,,20,6.8,134,77,7.6,117,60,,20,5.5,370,108,9.0,-113,111,,20,5.9,114,193,7.6,-268,203,,20,5.7,158,2,6.8,169,2,,20,4.5,267,115,8.5,69,106,,20,6.8,160,203,8.0,46,219,,20,6,486,5,5.6,385,4,,20,7.1,287,113,6.5,275,113,,20,5.9,210,211,9.3,7,211,,20,5.6,335,5,6.8,266,22,,20,7,170,122,8,98,118,,20,,,,,,
25,6.8,229,84,8.2,159,70,,25,8.4,271.0,171,8.6,215,144,,25,7.1,249,292,8.8,35,279,,25,6.9,134,77,7.4,106,59,,25,4.9,359,107,9.1,-161,111,,25,5.5,98,198,7.3,-330,202,,25,5.7,161,2,6.7,164,2,,25,4.4,266,117,8.7,56,107,,25,6.2,172,204,9.5,28,220,,25,5.9,489,5,5.6,387,4,,25,6.8,306,115,6.6,180,113,,25,5.7,212,210,9,-23,211,,25,5.5,357,6,7.1,242,23,,25,7,173,122,8,95,118,,25,,,,,,
30,6.8,235,82,8.4,156,72,,30,7.6,294.0,170,9.0,206,145,,30,7.1,252,286,8.8,-4,281,,30,6.5,132,75,7.4,86,61,,30,4.8,349,108,9.1,-166,112,,30,4.7,133,197,8.7,-344,202,,30,5.8,155,2,6.7,154,2,,30,4.5,275,117,8.7,47,108,,30,5.8,160,204,9.7,14,226,,30,5.5,505,5,5.7,392,5,,30,6.9,301,113,6.6,154,113,,30,5.7,213,213,9,-44,216,,30,5.5,341,6,7.1,227,27,,30,7,175,123,8,85,118,,30,,,,,,
35,6.8,237,81,8.5,152,71,,35,7.4,316.0,165,9.1,197,146,,35,7.3,262,297,8.8,-6,280,,35,6.9,132,76,7.4,73,59,,35,4.8,336,108,9.2,-210,113,,35,4.9,129,200,7.8,-384,204,,35,5.8,161,2,7.0,154,2,,35,4.2,272,119,8.8,41,108,,35,5.1,170,207,9.6,13,226,,35,5.4,509,5,5.7,393,4,,35,6.9,318,114,6.6,151,115,,35,5.8,214,213,9.2,-60,213,,35,5.2,340,6,7.6,211,27,,35,6.8,178,123,8.2,80,118,,35,,,,,,
40,6.8,246,83,8.6,147,73,,40,7.0,331.0,173,9.2,189,146,,40,6.6,277,290,9.0,-42,279,,40,6.9,130,76,7.7,74,60,,40,4.8,331,110,8.8,-185,114,,40,4.9,93,200,7.8,-415,204,,40,5.8,158,2,7.1,146,2,,40,4.5,274,120,9.0,30,109,,40,4.9,171,208,10.0,9,227,,40,5.7,515,5,5.4,394,4,,40,7.1,299,113,6.9,145,115,,40,5.7,214,208,9.4,-82,212,,40,4.8,340,6,7.7,196,27,,40,6.8,179,123,8.2,70,119,,40,,,,,,
