No;Provinsi;Luas Lahan;Produksi
1;ACEH;276622.14;1533138.00
2;SUMATERA UTARA;423522.28;2131672.00
3;SUMATERA BARAT;288510.67;1422874.00
4;RIAU;54317.04;227346.30
5;JAMBI;63760.91;289276.80
6;SUMATERA SELATAN;516259.59;2759343.00
7;BENGKULU;58663.78;290155.90
8;LAMPUNG;516910.01;2661363.00
9;KEP. BANGKA BELITUNG;15908.70;62641.49
10;KEP. RIAU;196.53;589.68
11;DKI JAKARTA;535.63;2741.38
12;JAWA BARAT;1685295.13;9620534.00
13;JAWA TENGAH;1699436.08;9579069.00
14;DI YOGYAKARTA;112148.00;580686.00
15;JAWA TIMUR;1704759.48;9686760.00
16;BANTEN;338454.39;1776812.00
17;BALI;114790.87;691818.90
18;NUSA TENGGARA BARAT;269827.26;1456923.00
19;NUSA TENGGARA TIMUR;185737.54;776867.10
20;KALIMANTAN BARAT;272115.99;814743.30
21;KALIMANTAN TENGAH;109756.22;353864.60
22;KALIMANTAN SELATAN;225483.04;873130.30
23;KALIMANTAN TIMUR;64031.22;232143.50
24;KALIMANTAN UTARA;10550.13;37966.25
25;SULAWESI UTARA;59081.54;253478.90
26;SULAWESI TENGAH;173238.56;771524.90
27;SULAWESI SELATAN;1042107.35;5341021.00
28;SULAWESI TENGGARA;119662.53;494855.90
29;GORONTALO;48497.60;249708.90
30;SULAWESI BARAT;71470.11;364683.20
31;MALUKU;23991.26;92640.14
32;MALUKU UTARA;6408.19;24705.38
33;PAPUA BARAT;5475.82;24031.60
34;PAPUA;48987.63;191109.20
