No;Provinsi;Padi;Kentang 
1;ACEH;1634639.60;15997.00
2;SUMATERA UTARA;2004142.51;159014.00
3;SUMATERA BARAT;1317209.38;15201.00
4;RIAU;217458.87;-
5;JAMBI;298149.25;129336.00
6;SUMATERA SELATAN;2552443.19;524.00
7;BENGKULU;271117.19;3573.00
8;LAMPUNG;2485452.78;179.00
9;KEP. BANGKA BELITUNG;70496.25;-
10;KEP. RIAU;855.01;-
11;DKI JAKARTA;3249.47;-
12;JAWA BARAT;9113573.08;240482.00
13;JAWA TENGAH;9618656.81;277725.00
14;DI YOGYAKARTA;556531.03;29.00
15;JAWA TIMUR;9789587.67;324338.00
16;BANTEN;1603247.00;4.00
17;BALI;618910.81;114.00
18;NUSA TENGGARA BARAT;1419559.84;2036.00
19;NUSA TENGGARA TIMUR;731877.74;410.00
20;KALIMANTAN BARAT;711898.01;-
21;KALIMANTAN TENGAH;381189.55;-
22;KALIMANTAN SELATAN;1016313.55;-
23;KALIMANTAN TIMUR;244677.96;-
24;KALIMANTAN UTARA;29967.31;-
25;SULAWESI UTARA;232884.76;120187.00
26;SULAWESI TENGAH;867012.77;656.00
27;SULAWESI SELATAN;5090637.23;71083.00
28;SULAWESI TENGGARA;530029.08;-
29;GORONTALO;234392.86;-
30;SULAWESI BARAT;311072.46;101.00
31;MALUKU;116803.67;3.00
32;MALUKU UTARA;28050.80;-
33;PAPUA BARAT;26926.93;71.00
34;PAPUA;286279.80;2.00
