No;Provinsi;2018;2021
1;ACEH;1861567.10;1676935.87
2;SUMATERA UTARA;2108284.72;2074855.91
3;SUMATERA BARAT;1483076.48;1361769.15
4;RIAU;266375.53;223399.47
5;JAMBI;383045.74;316816.81
6;SUMATERA SELATAN;2994191.84;2540944.30
7;BENGKULU;288810.52;272772.61
8;LAMPUNG;2488641.91;2472587.06
9;KEP. BANGKA BELITUNG;45724.69;69720.93
10;KEP. RIAU;1097.00;961.52
11;DKI JAKARTA;4899.14;3467.88
12;JAWA BARAT;9647358.75;9354368.84
13;JAWA TENGAH;10499588.23;9765167.49
14;DI YOGYAKARTA;514935.49;565032.13
15;JAWA TIMUR;10203213.17;9908931.80
16;BANTEN;1687783.30;1629648.27
17;BALI;667069.06;611455.63
18;NUSA TENGGARA BARAT;1460338.81;1432460.26
19;NUSA TENGGARA TIMUR;899935.88;730925.42
20;KALIMANTAN BARAT;799715.21;776797.43
21;KALIMANTAN TENGAH;514769.05;400444.04
22;KALIMANTAN SELATAN;1327492.41;1041862.91
23;KALIMANTAN TIMUR;262773.88;240640.80
24;KALIMANTAN UTARA;45063.53;38164.61
25;SULAWESI UTARA;326929.74;228995.95
26;SULAWESI TENGAH;926978.66;866668.66
27;SULAWESI SELATAN;5952616.45;5152871.43
28;SULAWESI TENGGARA;538876.14;540292.61
29;GORONTALO;269540.40;229535.13
30;SULAWESI BARAT;316478.37;323426.53
31;MALUKU;116228.86;115067.74
32;MALUKU UTARA;49047.11;28980.60
33;PAPUA BARAT;24967.13;25290.61
34;PAPUA;223119.42;248358.99
