No;Provinsi;2018;2019;2020;2021;2022
1;ACEH;1861567.10;1714437.60;1757313.07;1676935.87;1533138.00
2;SUMATERA UTARA;2108284.72;2078901.59;2040500.19;2074855.91;2131672.00
3;SUMATERA BARAT;1483076.48;1482996.01;1387269.29;1361769.15;1422874.00
4;RIAU;266375.53;230873.97;243685.04;223399.47;227346.30
5;JAMBI;383045.74;309932.68;386413.49;316816.81;289276.80
6;SUMATERA SELATAN;2994191.84;2603396.24;2743059.68;2540944.30;2759343.00
7;BENGKULU;288810.52;296472.07;292834.04;272772.61;290155.90
8;LAMPUNG;2488641.91;2164089.33;2650289.64;2472587.06;2661363.00
9;KEP. BANGKA BELITUNG;45724.69;48805.68;57324.32;69720.93;62641.49
10;KEP. RIAU;1097.00;1150.80;852.54;961.52;589.68
11;DKI JAKARTA;4899.14;3359.31;4543.93;3467.88;2741.38
12;JAWA BARAT;9647358.75;9084957.22;9016772.58;9354368.84;9620534.00
13;JAWA TENGAH;10499588.23;9655653.98;9489164.62;9765167.49;9579069.00
14;DI YOGYAKARTA;514935.49;533477.40;523395.95;565032.13;580686.00
15;JAWA TIMUR;10203213.17;9580933.88;9944538.26;9908931.80;9686760.00
16;BANTEN;1687783.30;1470503.35;1655170.09;1629648.27;1776812.00
17;BALI;667069.06;57932053;532168.45;611455.63;691818.90
18;NUSA TENGGARA BARAT;1460338.81;1402182.39;1317189.81;1432460.26;1456923.00
19;NUSA TENGGARA TIMUR;899935.88;811724.18;725024.30;730925.42;776867.10
20;KALIMANTAN BARAT;799715.21;847875.13;778170.36;776797.43;814743.30
21;KALIMANTAN TENGAH;514769.05;443561.33;457952.00;400444.04;353864.60
22;KALIMANTAN SELATAN;1327492.41;134286182;1150306.66;1041862.91;873130.30
23;KALIMANTAN TIMUR;262773.88;253818.37;262434.52;240640.80;232143.50
24;KALIMANTAN UTARA;45063.53;33357.19;33574.28;38164.61;37966.25
25;SULAWESI UTARA;326929.74;277776.31;248879.48;228995.95;253478.90
26;SULAWESI TENGAH;926978.66;844904.30;792248.84;866668.66;771524.90
27;SULAWESI SELATAN;5952616.45;5054166.96;4708464.97;5152871.43;5341021.00
28;SULAWESI TENGGARA;538876.14;519706.93;532773.49;540292.61;494855.90
29;GORONTALO;269540.40;231211.11;227627.20;229535.13;249708.90
30;SULAWESI BARAT;316478.37;300142.22;345050.37;323426.53;364683.20
31;MALUKU;116228.86;98254.75;110447.30;115067.74;92640.14
32;MALUKU UTARA;49047.11;37945.64;43382.85;28980.60;24705.38
33;PAPUA BARAT;24967.13;29943.56;24378.33;25290.61;24031.60
34;PAPUA;223119.42;235339.51;166002.30;248358.99;191109.20
