No;Provinsi;2020;2021;2022
1;ACEH;1757313.07;1634639.60;1533138.00
2;SUMATERA UTARA;2040500.19;2004142.51;2131672.00
3;SUMATERA BARAT;1387269.29;1317209.38;1422874.00
4;RIAU;243685.04;217458.87;227346.30
5;JAMBI;386413.49;298149.25;289276.80
6;SUMATERA SELATAN;2743059.68;2552443.19;2759343.00
7;BENGKULU;292834.04;271117.19;290155.90
8;LAMPUNG;2650289.64;2485452.78;2661363.00
9;KEP. BANGKA BELITUNG;57324.32;70496.25;62641.49
10;KEP. RIAU;852.54;855.01;589.68
11;DKI JAKARTA;4543.93;3249.47;2741.38
12;JAWA BARAT;9016772.58;9113573.08;9620534.00
13;JAWA TENGAH;9489164.62;9618656.81;9579069.00
14;DI YOGYAKARTA;523395.95;556531.03;580686.00
15;JAWA TIMUR;9944538.26;9789587.67;9686760.00
16;BANTEN;1655170.09;1603247.00;1776812.00
17;BALI;532168.45;618910.81;691818.90
18;NUSA TENGGARA BARAT;1317189.81;1419559.84;1456923.00
19;NUSA TENGGARA TIMUR;725024.30;731877.74;776867.10
20;KALIMANTAN BARAT;778170.36;711898.01;814743.30
21;KALIMANTAN TENGAH;457952.00;381189.55;353864.60
22;KALIMANTAN SELATAN;1150306.66;1016313.55;873130.30
23;KALIMANTAN TIMUR;262434.52;244677.96;232143.50
24;KALIMANTAN UTARA;33574.28;29967.31;37966.25
25;SULAWESI UTARA;248879.48;232884.76;253478.90
26;SULAWESI TENGAH;792248.84;867012.77;771524.90
27;SULAWESI SELATAN;4708464.97;5090637.23;5341021.00
28;SULAWESI TENGGARA;532773.49;530029.08;494855.90
29;GORONTALO;227627.20;234392.86;249708.90
30;SULAWESI BARAT;345050.37;311072.46;364683.20
31;MALUKU;110447.30;116803.67;92640.14
32;MALUKU UTARA;43382.85;28050.80;24705.38
33;PAPUA BARAT;24378.33;26926.93;24031.60
34;PAPUA;166002.30;286279.80;191109.20
