No;Provinsi;2020;2021;2022
1;ACEH;55.28;55.03;55.03
2;SUMATERA UTARA;52.51;52.00;52.00
3;SUMATERA BARAT;46.92;48.36;48.36
4;RIAU;37.64;40.98;40.98
5;JAMBI;45.58;46.29;46.29
6;SUMATERA SELATAN;49.75;51.44;51.44
7;BENGKULU;45.66;48.67;48.67
8;LAMPUNG;48.62;50.77;50.77
9;KEP. BANGKA BELITUNG;32.13;38.57;38.57
10;KEP. RIAU;28.56;31.65;31.65
11;DKI JAKARTA;49.69;58.03;58.03
12;JAWA BARAT;56.82;56.81;56.81
13;JAWA TENGAH;56.93;56.69;56.69
14;DI YOGYAKARTA;47.35;51.77;51.77
15;JAWA TIMUR;56.68;56.02;56.02
16;BANTEN;50.88;50.38;50.38
17;BALI;58.49;58.83;58.83
18;NUSA TENGGARA BARAT;48.17;51.39;51.39
19;NUSA TENGGARA TIMUR;39.90;41.85;41.85
20;KALIMANTAN BARAT;30.33;31.90;31.90
21;KALIMANTAN TENGAH;31.96;30.28;30.28
22;KALIMANTAN SELATAN;39.69;39.97;39.97
23;KALIMANTAN TIMUR;35.67;36.92;36.92
24;KALIMANTAN UTARA;33.97;33.74;33.74
25;SULAWESI UTARA;40.25;39.35;39.35
26;SULAWESI TENGAH;44.49;47.59;47.59
27;SULAWESI SELATAN;48.23;51.67;51.67
28;SULAWESI TENGGARA;39.85;41.57;41.57
29;GORONTALO;46.75;48.12;48.12
30;SULAWESI BARAT;53.23;52.05;52.05
31;MALUKU;38.53;41.24;41.24
32;MALUKU UTARA;42.11;36.05;36.05
33;PAPUA BARAT;32.20;41.98;41.98
34;PAPUA;31.48;44.05;44.05
