ID,Benih,Budidaya,Tahun,Jumlah
1,bandeng <5 cm,budidaya tambak,2001,23646690
2,bandeng >5 cm,budidaya tambak,2001,5205005
3,udang windu,budidaya tambak,2001,19021171
4,udang putih,budidaya tambak,2001,2732715
5,udang vannamei,budidaya tambak,2001,0
6,ikan lainnya,budidaya tambak,2001,8966226
7,bandeng <5 cm,budidaya tambak,2003,22177473
8,bandeng >5 cm,budidaya tambak,2003,215574
9,udang windu,budidaya tambak,2003,92049502
10,udang putih,budidaya tambak,2003,2458419
11,udang vannamei,budidaya tambak,2003,0
12,ikan lainnya,budidaya tambak,2003,30538280
13,bandeng <5 cm,budidaya tambak,2004,70371124
14,bandeng >5 cm,budidaya tambak,2004,1004403
15,udang windu,budidaya tambak,2004,459751569
16,udang putih,budidaya tambak,2004,5437828
17,udang vannamei,budidaya tambak,2004,0
18,ikan lainnya,budidaya tambak,2004,9367446
19,bandeng <5 cm,budidaya tambak,2005,74080344
20,bandeng >5 cm,budidaya tambak,2005,2704663
21,udang windu,budidaya tambak,2005,462999218
22,udang putih,budidaya tambak,2005,6143514
23,udang vannamei,budidaya tambak,2005,9394854
24,ikan lainnya,budidaya tambak,2005,280087
25,bandeng <5 cm,budidaya tambak,2006,1982130
26,bandeng >5 cm,budidaya tambak,2006,1226298
27,udang windu,budidaya tambak,2006,8639292
28,udang putih,budidaya tambak,2006,1824654
29,udang vannamei,budidaya tambak,2006,9047715
30,ikan lainnya,budidaya tambak,2006,199340
31,bandeng <5 cm,budidaya tambak,2007,1249743
32,bandeng >5 cm,budidaya tambak,2007,12417043
33,udang windu,budidaya tambak,2007,24550384
34,udang putih,budidaya tambak,2007,1067666
35,udang vannamei,budidaya tambak,2007,16415363
36,ikan lainnya,budidaya tambak,2007,-633361
37,bandeng <5 cm,budidaya tambak,2008,246988
38,bandeng >5 cm,budidaya tambak,2008,1728165
39,udang windu,budidaya tambak,2008,5465998
40,udang putih,budidaya tambak,2008,374749
41,udang vannamei,budidaya tambak,2008,5746759
42,ikan lainnya,budidaya tambak,2008,1097432
43,bandeng <5 cm,budidaya tambak,2009,21188640
44,bandeng >5 cm,budidaya tambak,2009,2948511
45,udang windu,budidaya tambak,2009,77894233
46,udang putih,budidaya tambak,2009,1654450
47,udang vannamei,budidaya tambak,2009,96382945
48,ikan lainnya,budidaya tambak,2009,3997992
49,bandeng <5 cm,budidaya tambak,2010,9904368
50,bandeng >5 cm,budidaya tambak,2010,106567258
51,udang windu,budidaya tambak,2010,6825492
52,udang putih,budidaya tambak,2010,188592
53,udang vannamei,budidaya tambak,2010,6355616
54,ikan lainnya,budidaya tambak,2010,21065596
55,bandeng <5 cm,budidaya tambak,2011,2483932
56,bandeng >5 cm,budidaya tambak,2011,653
57,udang windu,budidaya tambak,2011,7530667
58,udang putih,budidaya tambak,2011,1026509
59,udang vannamei,budidaya tambak,2011,16079861
60,ikan lainnya,budidaya tambak,2011,1631461
