No;Provinsi Asal;Jumlah Penduduk;Kasus;Kasus Hari ini;Sembuh;Sembuh Hari Ini;Kematian;Meninggal Hari Ini;Recovery Index RI;Case Fatality Ratio CFR;Rasio Lacak & Isolasi
1;Aceh;527871;37239;122;31928;833;1845;14;85.70%;5.00%;0.3
2;Bali;4317404;111804;132;106145;236;3877;16;94.90%;3.50%;0
3;Banten;11904562;131069;77;127586;70;2661;0;97.30%;2.00%;0.4
4;Bangka Belitung;1455678;5074;81;47923;157;1372;6;94.40%;2.70%;0.49
5;Bengkulu;2010670;22972;4;22439;0;465;0;97.70%;2.00%;0.8
6;DI Yogyakarta;3668719;154214;105;146491;264;5151;5;95.00%;3.30%;0.16
7;DKI Jakarta;10562564;856585;227;840781;287;1351;4;98.20%;1.60%;3.17
8;Jambi;354228;2938;27;28033;99;759;1;95.40%;2.60%;0.14
9;Jawa Barat;48274162;701263;211;682715;427;14562;13;97.40%;2.10%;0.33
10;Jawa Tengah;36516035;480069;190;446608;267;29775;14;93.00%;6.20%;0.16
11;Jawa Timur;40665696;39396;295;36179;367;293;14;91.80%;7.40%;0.3
12;Kalimantan Barat;5414390;39513;113;38141;116;1033;2;96.50%;2.60%;0.44
13;Kalimantan Timur;3766039;156093;140;148908;186;5358;5;95.40%;3.40%;2.85
14;Kalimantan Tengah;266996;44871;52;41898;84;1352;0;93.40%;3.00%;0.35
15;Kalimantan Selatan;4073584;69076;53;65615;104;2318;1;95.00%;3.40%;0.09
16;Kalimantan Utara;701814;3452;18;30816;42;764;0;89.30%;2.20%;0.67
17;Kepulauan Riau;2064564;5346;44;51172;10;1724;0;95.70%;3.20%;0.66
18;Nusa Tenggara Barat;5320092;2722;37;26109;43;790;1;95.90%;2.90%;0.89
19;Sumatera Selatan;8467432;59421;25;55745;44;3024;1;93.80%;5.10%;1.56
20;Sumatera Barat;5534472;88911;32;85096;223;2095;3;95.70%;2.40%;0.02
21;Sulawesi Utara;2621923;33934;31;31876;139;1022;3;93.90%;3.00%;0.23
22;Sumatera Utara;14799361;103904;185;98132;385;385;6;94.40%;2.70%;0
23;Sulawesi Tenggara;2624875;19988;9;18998;32;521;3;95.00%;2.60%;0.49
24;Sulawesi Selatan;9073509;108041;100;103769;147;2184;1;96.00%;2.00%;0.11
25;Sulawesi Tengah;2985734;45797;117;42884;213;1542;8;93.60%;3.40%;0.05
26;Lampung;9007848;48749;48;43339;101;3735;9;88.90%;7.70%;0.19
27;Riau;6394087;12721;83;121797;135;4027;7;95.70%;3.20%;0.9
28;Maluku Utara;1282937;11931;4;1151;3;302;0;96.50%;2.50%;0.13
29;Maluku;1848923;14455;0;13977;14;257;0;96.70%;1.80%;0.05
30;Papua Barat;1134068;22824;13;22368;41;350;0;98.00%;1.50%;0
31;Papua;4303707;33496;32;31276;38;426;4;93.40%;1.30%;0.41
32;Sulawesi Barat;1419229;12058;14;11379;34;332;4;94.40%;2.80%;0.18
33;Nusa Tenggara Timur;5325566;62267;71;59902;203;1278;1;96.20%;2.10%;0.07
