ID,ProvinsiID,NamaProvinsi,BudidayaID,Budidaya,Tahun,Jumlah
1,11,Aceh,0,semua budidaya,2002,30959
2,12,Sumatera Utara,0,semua budidaya,2002,49553
3,13,Sumatera Barat,0,semua budidaya,2002,103354
4,14,Riau,0,semua budidaya,2002,39488
5,15,Jambi,0,semua budidaya,2002,25171
6,16,Sumatera Selatan,0,semua budidaya,2002,31185
7,17,Bengkulu,0,semua budidaya,2002,12893
8,18,Lampung,0,semua budidaya,2002,70517
9,19,Kepulauan Bangka Belitung,0,semua budidaya,2002,61
10,21,Kepulauan Riau,0,semua budidaya,2002,0
11,31,DKI Jakarta,0,semua budidaya,2002,5852
12,32,Jawa Barat,0,semua budidaya,2002,759454
13,33,Jawa Tengah,0,semua budidaya,2002,407376
14,34,DI Yogyakarta,0,semua budidaya,2002,60911
15,35,Jawa Timur,0,semua budidaya,2002,236291
16,36,Banten,0,semua budidaya,2002,29934
17,51,Bali,0,semua budidaya,2002,30640
18,52,Nusa Tenggara Barat,0,semua budidaya,2002,20805
19,53,Nusa Tenggara Timur,0,semua budidaya,2002,17676
20,61,Kalimantan Barat,0,semua budidaya,2002,10859
21,62,Kalimantan Tengah,0,semua budidaya,2002,8887
22,63,Kalimantan Selatan,0,semua budidaya,2002,12783
23,64,Kalimantan Timur,0,semua budidaya,2002,25689
24,71,Sulawesi Utara,0,semua budidaya,2002,26829
25,72,Sulawesi Tengah,0,semua budidaya,2002,12625
26,73,Sulawesi Selatan,0,semua budidaya,2002,86679
27,74,Sulawesi Tenggara,0,semua budidaya,2002,27894
28,75,Gorontalo,0,semua budidaya,2002,3549
29,76,Sulawesi Barat,0,semua budidaya,2002,0
30,81,Maluku,0,semua budidaya,2002,31
31,82,Maluku Utara,0,semua budidaya,2002,19
32,91,Papua Barat,0,semua budidaya,2002,0
33,94,Papua,0,semua budidaya,2002,42956
34,11,Aceh,0,semua budidaya,2003,52020
35,12,Sumatera Utara,0,semua budidaya,2003,102181
36,13,Sumatera Barat,0,semua budidaya,2003,85534
37,14,Riau,0,semua budidaya,2003,36313
38,15,Jambi,0,semua budidaya,2003,44258
39,16,Sumatera Selatan,0,semua budidaya,2003,33123
40,17,Bengkulu,0,semua budidaya,2003,8462
41,18,Lampung,0,semua budidaya,2003,93157
42,19,Kepulauan Bangka Belitung,0,semua budidaya,2003,407
43,21,Kepulauan Riau,0,semua budidaya,2003,0
44,31,DKI Jakarta,0,semua budidaya,2003,6552
45,32,Jawa Barat,0,semua budidaya,2003,833907
46,33,Jawa Tengah,0,semua budidaya,2003,460949
47,34,DI Yogyakarta,0,semua budidaya,2003,83688
48,35,Jawa Timur,0,semua budidaya,2003,171121
49,36,Banten,0,semua budidaya,2003,40630
50,51,Bali,0,semua budidaya,2003,32673
51,52,Nusa Tenggara Barat,0,semua budidaya,2003,21594
52,53,Nusa Tenggara Timur,0,semua budidaya,2003,28318
53,61,Kalimantan Barat,0,semua budidaya,2003,14790
54,62,Kalimantan Tengah,0,semua budidaya,2003,5441
55,63,Kalimantan Selatan,0,semua budidaya,2003,13017
56,64,Kalimantan Timur,0,semua budidaya,2003,19225
57,71,Sulawesi Utara,0,semua budidaya,2003,13329
58,72,Sulawesi Tengah,0,semua budidaya,2003,9288
59,73,Sulawesi Selatan,0,semua budidaya,2003,106535
60,74,Sulawesi Tenggara,0,semua budidaya,2003,27547
61,75,Gorontalo,0,semua budidaya,2003,6478
62,76,Sulawesi Barat,0,semua budidaya,2003,0
63,81,Maluku,0,semua budidaya,2003,46
64,82,Maluku Utara,0,semua budidaya,2003,1332
65,91,Papua Barat,0,semua budidaya,2003,0
66,94,Papua,0,semua budidaya,2003,32294
67,11,Aceh,0,semua budidaya,2004,41034
68,12,Sumatera Utara,0,semua budidaya,2004,65849
69,13,Sumatera Barat,0,semua budidaya,2004,98093
70,14,Riau,0,semua budidaya,2004,36291
71,15,Jambi,0,semua budidaya,2004,25729
72,16,Sumatera Selatan,0,semua budidaya,2004,44321
73,17,Bengkulu,0,semua budidaya,2004,16073
74,18,Lampung,0,semua budidaya,2004,66839
75,19,Kepulauan Bangka Belitung,0,semua budidaya,2004,1290
76,21,Kepulauan Riau,0,semua budidaya,2004,0
77,31,DKI Jakarta,0,semua budidaya,2004,2268
78,32,Jawa Barat,0,semua budidaya,2004,858128
79,33,Jawa Tengah,0,semua budidaya,2004,427143
80,34,DI Yogyakarta,0,semua budidaya,2004,85224
81,35,Jawa Timur,0,semua budidaya,2004,195083
82,36,Banten,0,semua budidaya,2004,53909
83,51,Bali,0,semua budidaya,2004,30244
84,52,Nusa Tenggara Barat,0,semua budidaya,2004,28978
85,53,Nusa Tenggara Timur,0,semua budidaya,2004,18071
86,61,Kalimantan Barat,0,semua budidaya,2004,20469
87,62,Kalimantan Tengah,0,semua budidaya,2004,18081
88,63,Kalimantan Selatan,0,semua budidaya,2004,17015
89,64,Kalimantan Timur,0,semua budidaya,2004,24117
90,71,Sulawesi Utara,0,semua budidaya,2004,23491
91,72,Sulawesi Tengah,0,semua budidaya,2004,26893
92,73,Sulawesi Selatan,0,semua budidaya,2004,172176
93,74,Sulawesi Tenggara,0,semua budidaya,2004,30743
94,75,Gorontalo,0,semua budidaya,2004,5793
95,76,Sulawesi Barat,0,semua budidaya,2004,0
96,81,Maluku,0,semua budidaya,2004,1090
97,82,Maluku Utara,0,semua budidaya,2004,1846
98,91,Papua Barat,0,semua budidaya,2004,0
99,94,Papua,0,semua budidaya,2004,23075
100,11,Aceh,0,semua budidaya,2005,45145
101,12,Sumatera Utara,0,semua budidaya,2005,72018
102,13,Sumatera Barat,0,semua budidaya,2005,80033
103,14,Riau,0,semua budidaya,2005,17121
104,15,Jambi,0,semua budidaya,2005,21475
105,16,Sumatera Selatan,0,semua budidaya,2005,63562
106,17,Bengkulu,0,semua budidaya,2005,23372
107,18,Lampung,0,semua budidaya,2005,64193
108,19,Kepulauan Bangka Belitung,0,semua budidaya,2005,1001
109,21,Kepulauan Riau,0,semua budidaya,2005,1566
110,31,DKI Jakarta,0,semua budidaya,2005,3165
111,32,Jawa Barat,0,semua budidaya,2005,808998
112,33,Jawa Tengah,0,semua budidaya,2005,498352
113,34,DI Yogyakarta,0,semua budidaya,2005,84380
114,35,Jawa Timur,0,semua budidaya,2005,238247
115,36,Banten,0,semua budidaya,2005,55921
116,51,Bali,0,semua budidaya,2005,24404
117,52,Nusa Tenggara Barat,0,semua budidaya,2005,24602
118,53,Nusa Tenggara Timur,0,semua budidaya,2005,26615
119,61,Kalimantan Barat,0,semua budidaya,2005,21078
120,62,Kalimantan Tengah,0,semua budidaya,2005,18812
