ID,ProvinsiID,NamaProvinsi,Wilayah,JenisOlahan,JenisPerairan,Tahun,Volume,OlahanID
1,11,Aceh,Sumatera,semua,Laut,2001,8640,0
2,12,Sumatera Utara,Sumatera,semua,Laut,2001,151576,0
3,13,Sumatera Barat,Sumatera,semua,Laut,2001,17831,0
4,14,Riau,Sumatera,semua,Laut,2001,52833,0
5,21,Kepulauan Riau,Sumatera,semua,Laut,2001,0,0
6,15,Jambi,Sumatera,semua,Laut,2001,16903,0
7,16,Sumatera Selatan,Sumatera,semua,Laut,2001,3039,0
8,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2001,5496,0
9,17,Bengkulu,Sumatera,semua,Laut,2001,1875,0
10,18,Lampung,Sumatera,semua,Laut,2001,14847,0
11,36,Banten,Jawa,semua,Laut,2001,0,0
12,31,DKI Jakarta,Jawa,semua,Laut,2001,8772,0
13,32,Jawa Barat,Jawa,semua,Laut,2001,55606,0
14,33,Jawa Tengah,Jawa,semua,Laut,2001,91683,0
15,34,DI Yogyakarta,Jawa,semua,Laut,2001,0,0
16,35,Jawa Timur,Jawa,semua,Laut,2001,138682,0
17,51,Bali,Bali - Nusa Tenggara,semua,Laut,2001,17287,0
18,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2001,25815,0
19,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2001,18177,0
20,61,Kalimantan Barat,Kalimantan,semua,Laut,2001,13668,0
21,62,Kalimantan Tengah,Kalimantan,semua,Laut,2001,16992,0
22,63,Kalimantan Selatan,Kalimantan,semua,Laut,2001,23454,0
23,64,Kalimantan Timur,Kalimantan,semua,Laut,2001,14285,0
24,71,Sulawesi Utara,Sulawesi,semua,Laut,2001,53806,0
25,75,Gorontalo,Sulawesi,semua,Laut,2001,4154,0
26,72,Sulawesi Tengah,Sulawesi,semua,Laut,2001,19213,0
27,73,Sulawesi Selatan,Sulawesi,semua,Laut,2001,56655,0
28,76,Sulawesi Barat,Sulawesi,semua,Laut,2001,0,0
29,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2001,38235,0
30,81,Maluku,Maluku - Papua,semua,Laut,2001,98430,0
31,82,Maluku Utara,Maluku - Papua,semua,Laut,2001,29458,0
32,91,Papua Barat,Maluku - Papua,semua,Laut,2001,0,0
33,94,Papua,Maluku - Papua,semua,Laut,2001,131671,0
34,11,Aceh,Sumatera,semua,Laut,2002,3000,0
35,12,Sumatera Utara,Sumatera,semua,Laut,2002,107959,0
36,13,Sumatera Barat,Sumatera,semua,Laut,2002,6917,0
37,14,Riau,Sumatera,semua,Laut,2002,22491,0
38,21,Kepulauan Riau,Sumatera,semua,Laut,2002,0,0
39,15,Jambi,Sumatera,semua,Laut,2002,14233,0
40,16,Sumatera Selatan,Sumatera,semua,Laut,2002,6692,0
41,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2002,5867,0
42,17,Bengkulu,Sumatera,semua,Laut,2002,2636,0
43,18,Lampung,Sumatera,semua,Laut,2002,15467,0
44,36,Banten,Jawa,semua,Laut,2002,14174,0
45,31,DKI Jakarta,Jawa,semua,Laut,2002,6574,0
46,32,Jawa Barat,Jawa,semua,Laut,2002,58495,0
47,33,Jawa Tengah,Jawa,semua,Laut,2002,121812,0
48,34,DI Yogyakarta,Jawa,semua,Laut,2002,0,0
49,35,Jawa Timur,Jawa,semua,Laut,2002,175442,0
50,51,Bali,Bali - Nusa Tenggara,semua,Laut,2002,21196,0
51,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2002,24785,0
52,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2002,16982,0
53,61,Kalimantan Barat,Kalimantan,semua,Laut,2002,12660,0
54,62,Kalimantan Tengah,Kalimantan,semua,Laut,2002,16992,0
55,63,Kalimantan Selatan,Kalimantan,semua,Laut,2002,29768,0
56,64,Kalimantan Timur,Kalimantan,semua,Laut,2002,16081,0
57,71,Sulawesi Utara,Sulawesi,semua,Laut,2002,71758,0
58,75,Gorontalo,Sulawesi,semua,Laut,2002,7248,0
59,72,Sulawesi Tengah,Sulawesi,semua,Laut,2002,15955,0
60,73,Sulawesi Selatan,Sulawesi,semua,Laut,2002,61839,0
61,76,Sulawesi Barat,Sulawesi,semua,Laut,2002,0,0
62,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2002,41373,0
63,81,Maluku,Maluku - Papua,semua,Laut,2002,99386,0
64,82,Maluku Utara,Maluku - Papua,semua,Laut,2002,38090,0
65,91,Papua Barat,Maluku - Papua,semua,Laut,2002,0,0
66,94,Papua,Maluku - Papua,semua,Laut,2002,107790,0
67,11,Aceh,Sumatera,semua,Laut,2003,6686,0
68,12,Sumatera Utara,Sumatera,semua,Laut,2003,91863,0
69,13,Sumatera Barat,Sumatera,semua,Laut,2003,7079,0
70,14,Riau,Sumatera,semua,Laut,2003,40720,0
71,21,Kepulauan Riau,Sumatera,semua,Laut,2003,0,0
72,15,Jambi,Sumatera,semua,Laut,2003,14575,0
73,16,Sumatera Selatan,Sumatera,semua,Laut,2003,10360,0
74,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2003,6137,0
75,17,Bengkulu,Sumatera,semua,Laut,2003,2743,0
76,18,Lampung,Sumatera,semua,Laut,2003,15315,0
77,36,Banten,Jawa,semua,Laut,2003,12500,0
78,31,DKI Jakarta,Jawa,semua,Laut,2003,33698,0
79,32,Jawa Barat,Jawa,semua,Laut,2003,69644,0
80,33,Jawa Tengah,Jawa,semua,Laut,2003,91303,0
81,34,DI Yogyakarta,Jawa,semua,Laut,2003,0,0
82,35,Jawa Timur,Jawa,semua,Laut,2003,174328,0
83,51,Bali,Bali - Nusa Tenggara,semua,Laut,2003,23370,0
84,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2003,29599,0
85,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2003,16128,0
86,61,Kalimantan Barat,Kalimantan,semua,Laut,2003,11079,0
87,62,Kalimantan Tengah,Kalimantan,semua,Laut,2003,7718,0
88,63,Kalimantan Selatan,Kalimantan,semua,Laut,2003,38367,0
89,64,Kalimantan Timur,Kalimantan,semua,Laut,2003,18892,0
90,71,Sulawesi Utara,Sulawesi,semua,Laut,2003,94591,0
91,75,Gorontalo,Sulawesi,semua,Laut,2003,3957,0
92,72,Sulawesi Tengah,Sulawesi,semua,Laut,2003,11920,0
93,73,Sulawesi Selatan,Sulawesi,semua,Laut,2003,67655,0
94,76,Sulawesi Barat,Sulawesi,semua,Laut,2003,0,0
95,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2003,35368,0
96,81,Maluku,Maluku - Papua,semua,Laut,2003,287578,0
97,82,Maluku Utara,Maluku - Papua,semua,Laut,2003,32080,0
98,91,Papua Barat,Maluku - Papua,semua,Laut,2003,0,0
99,94,Papua,Maluku - Papua,semua,Laut,2003,150721,0
100,11,Aceh,Sumatera,semua,Laut,2004,4249,0
101,12,Sumatera Utara,Sumatera,semua,Laut,2004,90331,0
102,13,Sumatera Barat,Sumatera,semua,Laut,2004,7807,0
103,14,Riau,Sumatera,semua,Laut,2004,48043,0
104,21,Kepulauan Riau,Sumatera,semua,Laut,2004,0,0
105,15,Jambi,Sumatera,semua,Laut,2004,12089,0
106,16,Sumatera Selatan,Sumatera,semua,Laut,2004,4818,0
107,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2004,14667,0
108,17,Bengkulu,Sumatera,semua,Laut,2004,3293,0
109,18,Lampung,Sumatera,semua,Laut,2004,15374,0
110,36,Banten,Jawa,semua,Laut,2004,12087,0
111,31,DKI Jakarta,Jawa,semua,Laut,2004,26725,0
112,32,Jawa Barat,Jawa,semua,Laut,2004,70351,0
113,33,Jawa Tengah,Jawa,semua,Laut,2004,88421,0
114,34,DI Yogyakarta,Jawa,semua,Laut,2004,0,0
115,35,Jawa Timur,Jawa,semua,Laut,2004,110036,0
116,51,Bali,Bali - Nusa Tenggara,semua,Laut,2004,21377,0
117,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2004,26911,0
118,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2004,18380,0
119,61,Kalimantan Barat,Kalimantan,semua,Laut,2004,11340,0
120,62,Kalimantan Tengah,Kalimantan,semua,Laut,2004,11719,0
121,63,Kalimantan Selatan,Kalimantan,semua,Laut,2004,38752,0
122,64,Kalimantan Timur,Kalimantan,semua,Laut,2004,10736,0
123,71,Sulawesi Utara,Sulawesi,semua,Laut,2004,75519,0
124,75,Gorontalo,Sulawesi,semua,Laut,2004,783,0
125,72,Sulawesi Tengah,Sulawesi,semua,Laut,2004,15277,0
126,73,Sulawesi Selatan,Sulawesi,semua,Laut,2004,49474,0
127,76,Sulawesi Barat,Sulawesi,semua,Laut,2004,0,0
128,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2004,42901,0
