ID,ProvinsiID,NamaProvinsi,Budidaya,NamaIkan,Tahun,Volume,Nilai,IkanID
1,11,Aceh,semua budidaya,total,2003,33877,630367421,0
2,12,Sumatera Utara,semua budidaya,total,2003,44187,1111788600,0
3,13,Sumatera Barat,semua budidaya,total,2003,30690,254598817,0
4,14,Riau,semua budidaya,total,2003,36393,1151401938,0
5,15,Jambi,semua budidaya,total,2003,9358,115366599,0
6,16,Sumatera Selatan,semua budidaya,total,2003,42504,708397850,0
7,17,Bengkulu,semua budidaya,total,2003,8141,98317816,0
8,18,Lampung,semua budidaya,total,2003,55150,1752674954,0
9,19,Kepulauan Bangka Belitung,semua budidaya,total,2003,776,15153921,0
10,21,Kepulauan Riau,semua budidaya,total,2003,0,0,0
11,31,DKI Jakarta,semua budidaya,total,2003,6227,35805574,0
12,32,Jawa Barat,semua budidaya,total,2003,230523,4214147418,0
13,33,Jawa Tengah,semua budidaya,total,2003,97660,881230486,0
14,34,DI Yogyakarta,semua budidaya,total,2003,7599,45385514,0
15,35,Jawa Timur,semua budidaya,total,2003,144669,1290084621,0
16,36,Banten,semua budidaya,total,2003,28568,220494511,0
17,51,Bali,semua budidaya,total,2003,114633,116766786,0
18,52,Nusa Tenggara Barat,semua budidaya,total,2003,48692,619157435,0
19,53,Nusa Tenggara Timur,semua budidaya,total,2003,14412,64628705,0
20,61,Kalimantan Barat,semua budidaya,total,2003,3917,75014136,0
21,62,Kalimantan Tengah,semua budidaya,total,2003,4215,126219728,0
22,63,Kalimantan Selatan,semua budidaya,total,2003,9517,166811116,0
23,64,Kalimantan Timur,semua budidaya,total,2003,20981,512327430,0
24,71,Sulawesi Utara,semua budidaya,total,2003,23521,105175961,0
25,72,Sulawesi Tengah,semua budidaya,total,2003,40492,103020192,0
26,73,Sulawesi Selatan,semua budidaya,total,2003,135062,1299981816,0
27,74,Sulawesi Tenggara,semua budidaya,total,2003,23150,163592539,0
28,75,Gorontalo,semua budidaya,total,2003,6274,17342769,0
29,76,Sulawesi Barat,semua budidaya,total,2003,0,0,0
30,81,Maluku,semua budidaya,total,2003,105,1392350,0
31,82,Maluku Utara,semua budidaya,total,2003,119,110214750,0
32,91,Papua Barat,semua budidaya,total,2003,0,0,0
33,94,Papua,semua budidaya,total,2003,2780,15470388,0
34,11,Aceh,semua budidaya,total,2004,35525,684616819,0
35,12,Sumatera Utara,semua budidaya,total,2004,41640,1099701102,0
36,13,Sumatera Barat,semua budidaya,total,2004,37414,317587449,0
37,14,Riau,semua budidaya,total,2004,35622,780033800,0
38,15,Jambi,semua budidaya,total,2004,10205,132692469,0
39,16,Sumatera Selatan,semua budidaya,total,2004,24735,946103059,0
40,17,Bengkulu,semua budidaya,total,2004,7152,92910250,0
41,18,Lampung,semua budidaya,total,2004,89284,2680425920,0
42,19,Kepulauan Bangka Belitung,semua budidaya,total,2004,791,14929397,0
43,21,Kepulauan Riau,semua budidaya,total,2004,0,0,0
44,31,DKI Jakarta,semua budidaya,total,2004,3778,41427711,0
45,32,Jawa Barat,semua budidaya,total,2004,264630,2890802774,0
46,33,Jawa Tengah,semua budidaya,total,2004,81718,1112302943,0
47,34,DI Yogyakarta,semua budidaya,total,2004,6220,59439524,0
48,35,Jawa Timur,semua budidaya,total,2004,153865,2093218893,0
49,36,Banten,semua budidaya,total,2004,22370,261388883,0
50,51,Bali,semua budidaya,total,2004,160685,1060739775,0
51,52,Nusa Tenggara Barat,semua budidaya,total,2004,51125,350075813,0
52,53,Nusa Tenggara Timur,semua budidaya,total,2004,67536,234319759,0
53,61,Kalimantan Barat,semua budidaya,total,2004,4785,133770816,0
54,62,Kalimantan Tengah,semua budidaya,total,2004,4576,59064544,0
55,63,Kalimantan Selatan,semua budidaya,total,2004,13791,277198640,0
56,64,Kalimantan Timur,semua budidaya,total,2004,42662,987536896,0
57,71,Sulawesi Utara,semua budidaya,total,2004,19881,112914557,0
58,72,Sulawesi Tengah,semua budidaya,total,2004,22226,186145228,0
59,73,Sulawesi Selatan,semua budidaya,total,2004,153894,2103993162,0
60,74,Sulawesi Tenggara,semua budidaya,total,2004,98481,417691388,0
61,75,Gorontalo,semua budidaya,total,2004,7469,52669579,0
62,76,Sulawesi Barat,semua budidaya,total,2004,0,0,0
63,81,Maluku,semua budidaya,total,2004,3416,63786662,0
64,82,Maluku Utara,semua budidaya,total,2004,680,3939640,0
65,91,Papua Barat,semua budidaya,total,2004,0,0,0
66,94,Papua,semua budidaya,total,2004,2454,19859655,0
67,11,Aceh,semua budidaya,total,2005,24434,415216400,0
68,12,Sumatera Utara,semua budidaya,total,2005,44393,1087043510,0
69,13,Sumatera Barat,semua budidaya,total,2005,32146,342504125,0
70,14,Riau,semua budidaya,total,2005,26686,268997526,0
71,15,Jambi,semua budidaya,total,2005,11419,117281653,0
72,16,Sumatera Selatan,semua budidaya,total,2005,81725,1080405101,0
73,17,Bengkulu,semua budidaya,total,2005,7514,102874376,0
74,18,Lampung,semua budidaya,total,2005,139743,4132187684,0
75,19,Kepulauan Bangka Belitung,semua budidaya,total,2005,719,11451674,0
76,21,Kepulauan Riau,semua budidaya,total,2005,5034,22709432,0
77,31,DKI Jakarta,semua budidaya,total,2005,8882,56985550,0
78,32,Jawa Barat,semua budidaya,total,2005,301266,2872684657,0
79,33,Jawa Tengah,semua budidaya,total,2005,113276,1213180323,0
80,34,DI Yogyakarta,semua budidaya,total,2005,9131,92464317,0
81,35,Jawa Timur,semua budidaya,total,2005,212125,2015467937,0
