ID,ProvinsiID,NamaProvinsi,Wilayah,JenisPerlakuan,JenisPerairan,Tahun,Volume
1,11,Aceh,Sumatera,semua,Laut,2001,102824
2,12,Sumatera Utara,Sumatera,semua,Laut,2001,341325
3,13,Sumatera Barat,Sumatera,semua,Laut,2001,100880
4,14,Riau,Sumatera,semua,Laut,2001,301519
5,21,Kepulauan Riau,Sumatera,semua,Laut,2001,0
6,15,Jambi,Sumatera,semua,Laut,2001,44935
7,16,Sumatera Selatan,Sumatera,semua,Laut,2001,46192
8,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2001,127866
9,17,Bengkulu,Sumatera,semua,Laut,2001,25602
10,18,Lampung,Sumatera,semua,Laut,2001,151485
11,36,Banten,Jawa,semua,Laut,2001,108109
12,31,DKI Jakarta,Jawa,semua,Laut,2001,107136
13,32,Jawa Barat,Jawa,semua,Laut,2001,141261
14,33,Jawa Tengah,Jawa,semua,Laut,2001,274809
15,34,DI Yogyakarta,Jawa,semua,Laut,2001,1339
16,35,Jawa Timur,Jawa,semua,Laut,2001,296418
17,51,Bali,Bali - Nusa Tenggara,semua,Laut,2001,59103
18,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2001,86597
19,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2001,83991
20,61,Kalimantan Barat,Kalimantan,semua,Laut,2001,64616
21,62,Kalimantan Tengah,Kalimantan,semua,Laut,2001,55911
22,63,Kalimantan Selatan,Kalimantan,semua,Laut,2001,99390
23,64,Kalimantan Timur,Kalimantan,semua,Laut,2001,82715
24,71,Sulawesi Utara,Sulawesi,semua,Laut,2001,183862
25,75,Gorontalo,Sulawesi,semua,Laut,2001,22413
26,72,Sulawesi Tengah,Sulawesi,semua,Laut,2001,79639
27,73,Sulawesi Selatan,Sulawesi,semua,Laut,2001,306115
28,76,Sulawesi Barat,Sulawesi,semua,Laut,2001,0
29,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2001,159873
30,81,Maluku,Maluku - Papua,semua,Laut,2001,217642
31,82,Maluku Utara,Maluku - Papua,semua,Laut,2001,83783
32,91,Papua Barat,Maluku - Papua,semua,Laut,2001,0
33,94,Papua,Maluku - Papua,semua,Laut,2001,209130
34,11,Aceh,Sumatera,semua,Laut,2002,92236
35,12,Sumatera Utara,Sumatera,semua,Laut,2002,345193
36,13,Sumatera Barat,Sumatera,semua,Laut,2002,85745
37,14,Riau,Sumatera,semua,Laut,2002,308595
38,21,Kepulauan Riau,Sumatera,semua,Laut,2002,0
39,15,Jambi,Sumatera,semua,Laut,2002,45262
40,16,Sumatera Selatan,Sumatera,semua,Laut,2002,49724
41,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2002,136526
42,17,Bengkulu,Sumatera,semua,Laut,2002,25903
43,18,Lampung,Sumatera,semua,Laut,2002,150850
44,36,Banten,Jawa,semua,Laut,2002,64966
45,31,DKI Jakarta,Jawa,semua,Laut,2002,106668
46,32,Jawa Barat,Jawa,semua,Laut,2002,150010
47,33,Jawa Tengah,Jawa,semua,Laut,2002,281268
48,34,DI Yogyakarta,Jawa,semua,Laut,2002,1641
49,35,Jawa Timur,Jawa,semua,Laut,2002,394586
50,51,Bali,Bali - Nusa Tenggara,semua,Laut,2002,81650
51,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2002,79727
52,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2002,85464
53,61,Kalimantan Barat,Kalimantan,semua,Laut,2002,64896
54,62,Kalimantan Tengah,Kalimantan,semua,Laut,2002,56071
55,63,Kalimantan Selatan,Kalimantan,semua,Laut,2002,106070
56,64,Kalimantan Timur,Kalimantan,semua,Laut,2002,84089
57,71,Sulawesi Utara,Sulawesi,semua,Laut,2002,196239
58,75,Gorontalo,Sulawesi,semua,Laut,2002,32171
59,72,Sulawesi Tengah,Sulawesi,semua,Laut,2002,65771
60,73,Sulawesi Selatan,Sulawesi,semua,Laut,2002,337042
61,76,Sulawesi Barat,Sulawesi,semua,Laut,2002,0
62,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2002,167386
63,81,Maluku,Maluku - Papua,semua,Laut,2002,171536
64,82,Maluku Utara,Maluku - Papua,semua,Laut,2002,91342
65,91,Papua Barat,Maluku - Papua,semua,Laut,2002,0
66,94,Papua,Maluku - Papua,semua,Laut,2002,214879
67,11,Aceh,Sumatera,semua,Laut,2003,134077
68,12,Sumatera Utara,Sumatera,semua,Laut,2003,341183
69,13,Sumatera Barat,Sumatera,semua,Laut,2003,98431
70,14,Riau,Sumatera,semua,Laut,2003,313473
71,21,Kepulauan Riau,Sumatera,semua,Laut,2003,0
72,15,Jambi,Sumatera,semua,Laut,2003,48826
73,16,Sumatera Selatan,Sumatera,semua,Laut,2003,61368
74,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2003,143897
75,17,Bengkulu,Sumatera,semua,Laut,2003,27211
76,18,Lampung,Sumatera,semua,Laut,2003,151246
77,36,Banten,Jawa,semua,Laut,2003,52871
78,31,DKI Jakarta,Jawa,semua,Laut,2003,120827
79,32,Jawa Barat,Jawa,semua,Laut,2003,149158
80,33,Jawa Tengah,Jawa,semua,Laut,2003,236235
81,34,DI Yogyakarta,Jawa,semua,Laut,2003,1775
82,35,Jawa Timur,Jawa,semua,Laut,2003,414653
83,51,Bali,Bali - Nusa Tenggara,semua,Laut,2003,95223
84,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2003,81092
85,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2003,87823
86,61,Kalimantan Barat,Kalimantan,semua,Laut,2003,63618
87,62,Kalimantan Tengah,Kalimantan,semua,Laut,2003,45176
88,63,Kalimantan Selatan,Kalimantan,semua,Laut,2003,111098
89,64,Kalimantan Timur,Kalimantan,semua,Laut,2003,87803
90,71,Sulawesi Utara,Sulawesi,semua,Laut,2003,182321
91,75,Gorontalo,Sulawesi,semua,Laut,2003,33168
92,72,Sulawesi Tengah,Sulawesi,semua,Laut,2003,65569
93,73,Sulawesi Selatan,Sulawesi,semua,Laut,2003,354399
94,76,Sulawesi Barat,Sulawesi,semua,Laut,2003,0
95,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2003,185520
96,81,Maluku,Maluku - Papua,semua,Laut,2003,373771
97,82,Maluku Utara,Maluku - Papua,semua,Laut,2003,77832
98,91,Papua Barat,Maluku - Papua,semua,Laut,2003,0
99,94,Papua,Maluku - Papua,semua,Laut,2003,243459
100,11,Aceh,Sumatera,semua,Laut,2004,102555
101,12,Sumatera Utara,Sumatera,semua,Laut,2004,323794
102,13,Sumatera Barat,Sumatera,semua,Laut,2004,102368
103,14,Riau,Sumatera,semua,Laut,2004,308304
104,21,Kepulauan Riau,Sumatera,semua,Laut,2004,0
105,15,Jambi,Sumatera,semua,Laut,2004,47078
106,16,Sumatera Selatan,Sumatera,semua,Laut,2004,54041
107,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2004,144006
108,17,Bengkulu,Sumatera,semua,Laut,2004,27615
109,18,Lampung,Sumatera,semua,Laut,2004,146863
110,36,Banten,Jawa,semua,Laut,2004,53535
111,31,DKI Jakarta,Jawa,semua,Laut,2004,123869
112,32,Jawa Barat,Jawa,semua,Laut,2004,160240
113,33,Jawa Tengah,Jawa,semua,Laut,2004,244389
114,34,DI Yogyakarta,Jawa,semua,Laut,2004,1444
115,35,Jawa Timur,Jawa,semua,Laut,2004,320691
116,51,Bali,Bali - Nusa Tenggara,semua,Laut,2004,65768
117,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2004,79450
118,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2004,96142
119,61,Kalimantan Barat,Kalimantan,semua,Laut,2004,65414
120,62,Kalimantan Tengah,Kalimantan,semua,Laut,2004,46286
121,63,Kalimantan Selatan,Kalimantan,semua,Laut,2004,116254
122,64,Kalimantan Timur,Kalimantan,semua,Laut,2004,93511
123,71,Sulawesi Utara,Sulawesi,semua,Laut,2004,192433
124,75,Gorontalo,Sulawesi,semua,Laut,2004,34997
125,72,Sulawesi Tengah,Sulawesi,semua,Laut,2004,87565
126,73,Sulawesi Selatan,Sulawesi,semua,Laut,2004,314678
127,76,Sulawesi Barat,Sulawesi,semua,Laut,2004,0
128,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2004,187658
129,81,Maluku,Maluku - Papua,semua,Laut,2004,424736
130,82,Maluku Utara,Maluku - Papua,semua,Laut,2004,79963
131,91,Papua Barat,Maluku - Papua,semua,Laut,2004,0
132,94,Papua,Maluku - Papua,semua,Laut,2004,274594
133,11,Aceh,Sumatera,semua,Laut,2005,81163
134,12,Sumatera Utara,Sumatera,semua,Laut,2005,326336
135,13,Sumatera Barat,Sumatera,semua,Laut,2005,108912
136,14,Riau,Sumatera,semua,Laut,2005,97782
137,21,Kepulauan Riau,Sumatera,semua,Laut,2005,181118
138,15,Jambi,Sumatera,semua,Laut,2005,43121
139,16,Sumatera Selatan,Sumatera,semua,Laut,2005,27831
140,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2005,119845
141,17,Bengkulu,Sumatera,semua,Laut,2005,38750
142,18,Lampung,Sumatera,semua,Laut,2005,137728
143,36,Banten,Jawa,semua,Laut,2005,58712
144,31,DKI Jakarta,Jawa,semua,Laut,2005,132024
145,32,Jawa Barat,Jawa,semua,Laut,2005,155341
146,33,Jawa Tengah,Jawa,semua,Laut,2005,192586
147,34,DI Yogyakarta,Jawa,semua,Laut,2005,1773
148,35,Jawa Timur,Jawa,semua,Laut,2005,322292
149,51,Bali,Bali - Nusa Tenggara,semua,Laut,2005,78703
150,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2005,81610
151,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2005,124872
152,61,Kalimantan Barat,Kalimantan,semua,Laut,2005,60616
153,62,Kalimantan Tengah,Kalimantan,semua,Laut,2005,45994
154,63,Kalimantan Selatan,Kalimantan,semua,Laut,2005,136520
155,64,Kalimantan Timur,Kalimantan,semua,Laut,2005,99692
156,71,Sulawesi Utara,Sulawesi,semua,Laut,2005,191868
157,75,Gorontalo,Sulawesi,semua,Laut,2005,37036
158,72,Sulawesi Tengah,Sulawesi,semua,Laut,2005,92088
159,73,Sulawesi Selatan,Sulawesi,semua,Laut,2005,277433
160,76,Sulawesi Barat,Sulawesi,semua,Laut,2005,38935
161,74,Sulawesi Tenggara,Sulawesi,semua,Laut,2005,213610
162,81,Maluku,Maluku - Papua,semua,Laut,2005,481848
163,82,Maluku Utara,Maluku - Papua,semua,Laut,2005,107000
164,91,Papua Barat,Maluku - Papua,semua,Laut,2005,100498
165,94,Papua,Maluku - Papua,semua,Laut,2005,214862
166,11,Aceh,Sumatera,semua,Laut,2006,124963
167,12,Sumatera Utara,Sumatera,semua,Laut,2006,342378
168,13,Sumatera Barat,Sumatera,semua,Laut,2006,123528
169,14,Riau,Sumatera,semua,Laut,2006,99194
170,21,Kepulauan Riau,Sumatera,semua,Laut,2006,164493
171,15,Jambi,Sumatera,semua,Laut,2006,25100
172,16,Sumatera Selatan,Sumatera,semua,Laut,2006,35485
173,19,Kepulauan Bangka Belitung,Sumatera,semua,Laut,2006,127274
174,17,Bengkulu,Sumatera,semua,Laut,2006,40725
175,18,Lampung,Sumatera,semua,Laut,2006,133551
176,36,Banten,Jawa,semua,Laut,2006,57745
177,31,DKI Jakarta,Jawa,semua,Laut,2006,137570
178,32,Jawa Barat,Jawa,semua,Laut,2006,149490
179,33,Jawa Tengah,Jawa,semua,Laut,2006,193554
180,34,DI Yogyakarta,Jawa,semua,Laut,2006,1731
181,35,Jawa Timur,Jawa,semua,Laut,2006,374620
182,51,Bali,Bali - Nusa Tenggara,semua,Laut,2006,77239
183,52,Nusa Tenggara Barat,Bali - Nusa Tenggara,semua,Laut,2006,95148
184,53,Nusa Tenggara Timur,Bali - Nusa Tenggara,semua,Laut,2006,97040
185,61,Kalimantan Barat,Kalimantan,semua,Laut,2006,66160
186,62,Kalimantan Tengah,Kalimantan,semua,Laut,2006,48402
187,63,Kalimantan Selatan,Kalimantan,semua,Laut,2006,121496
188,64,Kalimantan Timur,Kalimantan,semua,Laut,2006,90825
